"","race_ethnicity","ward","count"
"1","asian","ward_29_race",636
"2","asian","ward_35_race",2913
"3","asian","ward_36_race",1294
"4","asian","ward_49_race",3892
"5","black","ward_29_race",36857
"6","black","ward_35_race",1872
"7","black","ward_36_race",1605
"8","black","ward_49_race",13277
"9","latino","ward_29_race",10010
"10","latino","ward_35_race",35314
"11","latino","ward_36_race",35463
"12","latino","ward_49_race",12477
"13","other","ward_29_race",463
"14","other","ward_35_race",728
"15","other","ward_36_race",414
"16","other","ward_49_race",1706
"17","white","ward_29_race",9894
"18","white","ward_35_race",11182
"19","white","ward_36_race",12995
"20","white","ward_49_race",21968
